Phylum	Category	Percentage	Count	Timepoint	SampleType
Bacteroidetes	Amino acid transport and metabolism	0.01986755	3	TP8	Soil
Acidobacteria	Amino acid transport and metabolism	0.017647059	3	TP9	Soil
Chloroflexi	Amino acid transport and metabolism	0.033112583	5	TP8	Soil
Bacteroidetes	Amino acid transport and metabolism	0.018587361	5	TP9	Rhizosphere
Chloroflexi	Amino acid transport and metabolism	0.00656168	5	TP8	Rhizosphere
Bacteroidetes	Amino acid transport and metabolism	0.035294118	6	TP9	Soil
Firmicutes	Amino acid transport and metabolism	0.052980132	8	TP8	Soil
Nitrospirae	Amino acid transport and metabolism	0.047058824	8	TP9	Soil
Firmicutes	Amino acid transport and metabolism	0.082352941	14	TP9	Soil
Chloroflexi	Amino acid transport and metabolism	0.094117647	16	TP9	Soil
Proteobacteria	Amino acid transport and metabolism	0.119205298	18	TP8	Soil
Proteobacteria	Amino acid transport and metabolism	0.096654275	26	TP9	Rhizosphere
Firmicutes	Amino acid transport and metabolism	0.049868766	38	TP8	Rhizosphere
Proteobacteria	Amino acid transport and metabolism	0.288235294	49	TP9	Soil
Proteobacteria	Amino acid transport and metabolism	0.072178478	55	TP8	Rhizosphere
Actinobacteria	Amino acid transport and metabolism	0.364705882	62	TP9	Soil
Firmicutes	Amino acid transport and metabolism	0.249070632	67	TP9	Rhizosphere
Actinobacteria	Amino acid transport and metabolism	0.741721854	112	TP8	Soil
Actinobacteria	Amino acid transport and metabolism	0.617100372	166	TP9	Rhizosphere
Actinobacteria	Amino acid transport and metabolism	0.86351706	658	TP8	Rhizosphere
Armatimonadetes	Nucleotide transport and metabolism	0.024390244	1	TP9	Soil
Deinococcus-Thermus	Nucleotide transport and metabolism	0.024390244	1	TP9	Soil
Nitrospinae	Nucleotide transport and metabolism	0.024390244	1	TP9	Soil
Nitrospirae	Nucleotide transport and metabolism	0.024390244	1	TP9	Soil
Planctomycetes	Nucleotide transport and metabolism	0.024390244	1	TP9	Soil
Acidobacteria	Nucleotide transport and metabolism	0.02173913	1	TP8	Soil
Deferribacteres	Nucleotide transport and metabolism	0.02173913	1	TP8	Soil
Planctomycetes	Nucleotide transport and metabolism	0.02173913	1	TP8	Soil
Calescamantes	Nucleotide transport and metabolism	0.015151515	1	TP9	Rhizosphere
Acidobacteria	Nucleotide transport and metabolism	0.015151515	1	TP9	Rhizosphere
candidate division NC10	Nucleotide transport and metabolism	0.048780488	2	TP9	Soil
Cyanobacteria	Nucleotide transport and metabolism	0.043478261	2	TP8	Soil
Nitrospirae	Nucleotide transport and metabolism	0.043478261	2	TP8	Soil
Bacteroidetes	Nucleotide transport and metabolism	0.03030303	2	TP9	Rhizosphere
Tenericutes	Nucleotide transport and metabolism	0.011904762	2	TP8	Rhizosphere
Firmicutes	Nucleotide transport and metabolism	0.065217391	3	TP8	Soil
Bacteroidetes	Nucleotide transport and metabolism	0.097560976	4	TP9	Soil
Bacteroidetes	Nucleotide transport and metabolism	0.086956522	4	TP8	Soil
Chloroflexi	Nucleotide transport and metabolism	0.023809524	4	TP8	Rhizosphere
Chloroflexi	Nucleotide transport and metabolism	0.12195122	5	TP9	Soil
Chloroflexi	Nucleotide transport and metabolism	0.108695652	5	TP8	Soil
Proteobacteria	Nucleotide transport and metabolism	0.108695652	5	TP8	Soil
Firmicutes	Nucleotide transport and metabolism	0.053571429	9	TP8	Rhizosphere
Proteobacteria	Nucleotide transport and metabolism	0.166666667	11	TP9	Rhizosphere
Actinobacteria	Nucleotide transport and metabolism	0.292682927	12	TP9	Soil
Proteobacteria	Nucleotide transport and metabolism	0.317073171	13	TP9	Soil
Firmicutes	Nucleotide transport and metabolism	0.303030303	20	TP9	Rhizosphere
Actinobacteria	Nucleotide transport and metabolism	0.47826087	22	TP8	Soil
Proteobacteria	Nucleotide transport and metabolism	0.154761905	26	TP8	Rhizosphere
Actinobacteria	Nucleotide transport and metabolism	0.46969697	31	TP9	Rhizosphere
Actinobacteria	Nucleotide transport and metabolism	0.755952381	127	TP8	Rhizosphere
Thermotogae	Carbohydrate transport and metabolism	0.005882353	1	TP9	Soil
Armatimonadetes	Carbohydrate transport and metabolism	0.005747126	1	TP8	Soil
candidate division NC10	Carbohydrate transport and metabolism	0.005747126	1	TP8	Soil
Thermotogae	Carbohydrate transport and metabolism	0.005747126	1	TP8	Soil
Cyanobacteria	Carbohydrate transport and metabolism	0.002840909	1	TP9	Rhizosphere
Spirochaetes	Carbohydrate transport and metabolism	0.002840909	1	TP9	Rhizosphere
Deinococcus-Thermus	Carbohydrate transport and metabolism	0.000987167	1	TP8	Rhizosphere
Thermodesulfobacteria	Carbohydrate transport and metabolism	0.000987167	1	TP8	Rhizosphere
Verrucomicrobia	Carbohydrate transport and metabolism	0.000987167	1	TP8	Rhizosphere
Deinococcus-Thermus	Carbohydrate transport and metabolism	0.011764706	2	TP9	Soil
Planctomycetes	Carbohydrate transport and metabolism	0.011764706	2	TP9	Soil
Verrucomicrobia	Carbohydrate transport and metabolism	0.011764706	2	TP9	Soil
Acidobacteria	Carbohydrate transport and metabolism	0.011494253	2	TP8	Soil
Deinococcus-Thermus	Carbohydrate transport and metabolism	0.011494253	2	TP8	Soil
Verrucomicrobia	Carbohydrate transport and metabolism	0.011494253	2	TP8	Soil
Bacteroidetes	Carbohydrate transport and metabolism	0.005681818	2	TP9	Rhizosphere
Nitrospirae	Carbohydrate transport and metabolism	0.005681818	2	TP9	Rhizosphere
Chloroflexi	Carbohydrate transport and metabolism	0.005681818	2	TP9	Rhizosphere
Acidobacteria	Carbohydrate transport and metabolism	0.017647059	3	TP9	Soil
Cyanobacteria	Carbohydrate transport and metabolism	0.017647059	3	TP9	Soil
Cyanobacteria	Carbohydrate transport and metabolism	0.017241379	3	TP8	Soil
Nitrospirae	Carbohydrate transport and metabolism	0.017241379	3	TP8	Soil
Nitrospirae	Carbohydrate transport and metabolism	0.023529412	4	TP9	Soil
Bacteroidetes	Carbohydrate transport and metabolism	0.003948667	4	TP8	Rhizosphere
Tenericutes	Carbohydrate transport and metabolism	0.003948667	4	TP8	Rhizosphere
Planctomycetes	Carbohydrate transport and metabolism	0.028735632	5	TP8	Soil
Bacteroidetes	Carbohydrate transport and metabolism	0.034482759	6	TP8	Soil
Chloroflexi	Carbohydrate transport and metabolism	0.045977011	8	TP8	Soil
Firmicutes	Carbohydrate transport and metabolism	0.052941176	9	TP9	Soil
Bacteroidetes	Carbohydrate transport and metabolism	0.076470588	13	TP9	Soil
Chloroflexi	Carbohydrate transport and metabolism	0.082352941	14	TP9	Soil
Firmicutes	Carbohydrate transport and metabolism	0.086206897	15	TP8	Soil
Chloroflexi	Carbohydrate transport and metabolism	0.016781836	17	TP8	Rhizosphere
Firmicutes	Carbohydrate transport and metabolism	0.024679171	25	TP8	Rhizosphere
Proteobacteria	Carbohydrate transport and metabolism	0.166666667	29	TP8	Soil
Proteobacteria	Carbohydrate transport and metabolism	0.088068182	31	TP9	Rhizosphere
Proteobacteria	Carbohydrate transport and metabolism	0.039486673	40	TP8	Rhizosphere
Proteobacteria	Carbohydrate transport and metabolism	0.311764706	53	TP9	Soil
Firmicutes	Carbohydrate transport and metabolism	0.176136364	62	TP9	Rhizosphere
Actinobacteria	Carbohydrate transport and metabolism	0.376470588	64	TP9	Soil
Actinobacteria	Carbohydrate transport and metabolism	0.551724138	96	TP8	Soil
Actinobacteria	Carbohydrate transport and metabolism	0.713068182	251	TP9	Rhizosphere
Actinobacteria	Carbohydrate transport and metabolism	0.908193485	920	TP8	Rhizosphere
Aerophobetes	Coenzyme transport and metabolism	0.01369863	1	TP9	Soil
Chlorobi	Coenzyme transport and metabolism	0.01369863	1	TP9	Soil
Nitrospinae	Coenzyme transport and metabolism	0.01369863	1	TP9	Soil
Planctomycetes	Coenzyme transport and metabolism	0.01369863	1	TP9	Soil
Tenericutes	Coenzyme transport and metabolism	0.01369863	1	TP9	Soil
Thermotogae	Coenzyme transport and metabolism	0.01369863	1	TP9	Soil
Deinococcus-Thermus	Coenzyme transport and metabolism	0.012195122	1	TP8	Soil
Nitrospinae	Coenzyme transport and metabolism	0.012195122	1	TP8	Soil
Nitrospirae	Coenzyme transport and metabolism	0.012195122	1	TP8	Soil
Spirochaetes	Coenzyme transport and metabolism	0.012195122	1	TP8	Soil
Verrucomicrobia	Coenzyme transport and metabolism	0.012195122	1	TP8	Soil
Cyanobacteria	Coenzyme transport and metabolism	0.008928571	1	TP9	Rhizosphere
Bacteroidetes	Coenzyme transport and metabolism	0.008928571	1	TP9	Rhizosphere
Chloroflexi	Coenzyme transport and metabolism	0.008928571	1	TP9	Rhizosphere
candidate	Coenzyme transport and metabolism	0.004347826	1	TP8	Rhizosphere
Cyanobacteria	Coenzyme transport and metabolism	0.004347826	1	TP8	Rhizosphere
Spirochaetes	Coenzyme transport and metabolism	0.004347826	1	TP8	Rhizosphere
Cyanobacteria	Coenzyme transport and metabolism	0.024390244	2	TP8	Soil
Planctomycetes	Coenzyme transport and metabolism	0.024390244	2	TP8	Soil
Acidobacteria	Coenzyme transport and metabolism	0.036585366	3	TP8	Soil
Bacteroidetes	Coenzyme transport and metabolism	0.054794521	4	TP9	Soil
Firmicutes	Coenzyme transport and metabolism	0.048780488	4	TP8	Soil
Nitrospirae	Coenzyme transport and metabolism	0.082191781	6	TP9	Soil
Chloroflexi	Coenzyme transport and metabolism	0.073170732	6	TP8	Soil
Firmicutes	Coenzyme transport and metabolism	0.095890411	7	TP9	Soil
Chloroflexi	Coenzyme transport and metabolism	0.109589041	8	TP9	Soil
Proteobacteria	Coenzyme transport and metabolism	0.109756098	9	TP8	Soil
Acidobacteria	Coenzyme transport and metabolism	0.136986301	10	TP9	Soil
Chloroflexi	Coenzyme transport and metabolism	0.047826087	11	TP8	Rhizosphere
Firmicutes	Coenzyme transport and metabolism	0.047826087	11	TP8	Rhizosphere
Proteobacteria	Coenzyme transport and metabolism	0.125	14	TP9	Rhizosphere
Actinobacteria	Coenzyme transport and metabolism	0.205479452	15	TP9	Soil
Proteobacteria	Coenzyme transport and metabolism	0.232876712	17	TP9	Soil
Proteobacteria	Coenzyme transport and metabolism	0.117391304	27	TP8	Rhizosphere
Firmicutes	Coenzyme transport and metabolism	0.348214286	39	TP9	Rhizosphere
Actinobacteria	Coenzyme transport and metabolism	0.62195122	51	TP8	Soil
Actinobacteria	Coenzyme transport and metabolism	0.5	56	TP9	Rhizosphere
Actinobacteria	Coenzyme transport and metabolism	0.773913043	178	TP8	Rhizosphere
Aerophobetes	Lipid transport and metabolism	0.010752688	1	TP9	Soil
Balneolaeota	Lipid transport and metabolism	0.010752688	1	TP9	Soil
candidate division NC10	Lipid transport and metabolism	0.010752688	1	TP9	Soil
Cyanobacteria	Lipid transport and metabolism	0.010752688	1	TP9	Soil
Nitrospinae	Lipid transport and metabolism	0.010752688	1	TP9	Soil
Planctomycetes	Lipid transport and metabolism	0.010752688	1	TP9	Soil
Tenericutes	Lipid transport and metabolism	0.010752688	1	TP9	Soil
Acidobacteria	Lipid transport and metabolism	0.010526316	1	TP8	Soil
Fusobacteria	Lipid transport and metabolism	0.010526316	1	TP8	Soil
Nitrospirae	Lipid transport and metabolism	0.010526316	1	TP8	Soil
Cyanobacteria	Lipid transport and metabolism	0.007042254	1	TP9	Rhizosphere
Acidobacteria	Lipid transport and metabolism	0.007042254	1	TP9	Rhizosphere
Bacteroidetes	Lipid transport and metabolism	0.007042254	1	TP9	Rhizosphere
Tenericutes	Lipid transport and metabolism	0.007782101	2	TP8	Rhizosphere
Chloroflexi	Lipid transport and metabolism	0.032258065	3	TP9	Soil
Nitrospirae	Lipid transport and metabolism	0.032258065	3	TP9	Soil
Firmicutes	Lipid transport and metabolism	0.031578947	3	TP8	Soil
Chloroflexi	Lipid transport and metabolism	0.011673152	3	TP8	Rhizosphere
Acidobacteria	Lipid transport and metabolism	0.043010753	4	TP9	Soil
Firmicutes	Lipid transport and metabolism	0.043010753	4	TP9	Soil
Bacteroidetes	Lipid transport and metabolism	0.064516129	6	TP9	Soil
Firmicutes	Lipid transport and metabolism	0.035019455	9	TP8	Rhizosphere
Proteobacteria	Lipid transport and metabolism	0.042801556	11	TP8	Rhizosphere
Proteobacteria	Lipid transport and metabolism	0.157894737	15	TP8	Soil
Proteobacteria	Lipid transport and metabolism	0.147887324	21	TP9	Rhizosphere
Firmicutes	Lipid transport and metabolism	0.211267606	30	TP9	Rhizosphere
Actinobacteria	Lipid transport and metabolism	0.333333333	31	TP9	Soil
Proteobacteria	Lipid transport and metabolism	0.376344086	35	TP9	Soil
Actinobacteria	Lipid transport and metabolism	0.778947368	74	TP8	Soil
Actinobacteria	Lipid transport and metabolism	0.61971831	88	TP9	Rhizosphere
Actinobacteria	Lipid transport and metabolism	0.902723735	232	TP8	Rhizosphere
Acidobacteria	Translation, ribosomal structure and biogenesis	0.004366812	1	TP8	Soil
Candidatus Atribacteria	Translation, ribosomal structure and biogenesis	0.004366812	1	TP8	Soil
Chlorobi	Translation, ribosomal structure and biogenesis	0.004366812	1	TP8	Soil
Cyanobacteria	Translation, ribosomal structure and biogenesis	0.004366812	1	TP8	Soil
Deinococcus-Thermus	Translation, ribosomal structure and biogenesis	0.004366812	1	TP8	Soil
Fibrobacteres	Translation, ribosomal structure and biogenesis	0.004366812	1	TP8	Soil
Nitrospinae	Translation, ribosomal structure and biogenesis	0.004366812	1	TP8	Soil
Thermodesulfobacteria	Translation, ribosomal structure and biogenesis	0.004366812	1	TP8	Soil
Balneolaeota	Translation, ribosomal structure and biogenesis	0.004016064	1	TP9	Soil
candidate division NC10	Translation, ribosomal structure and biogenesis	0.004016064	1	TP9	Soil
Deferribacteres	Translation, ribosomal structure and biogenesis	0.004016064	1	TP9	Soil
Hydrogenedentes	Translation, ribosomal structure and biogenesis	0.004016064	1	TP9	Soil
Latescibacteria	Translation, ribosomal structure and biogenesis	0.004016064	1	TP9	Soil
Spirochaetes	Translation, ribosomal structure and biogenesis	0.004016064	1	TP9	Soil
Tenericutes	Translation, ribosomal structure and biogenesis	0.004016064	1	TP9	Soil
Nitrospinae	Translation, ribosomal structure and biogenesis	0.002793296	1	TP9	Rhizosphere
Spirochaetes	Translation, ribosomal structure and biogenesis	0.002793296	1	TP9	Rhizosphere
Armatimonadetes	Translation, ribosomal structure and biogenesis	0.001123596	1	TP8	Rhizosphere
Bacteroidetes	Translation, ribosomal structure and biogenesis	0.001123596	1	TP8	Rhizosphere
Chlamydiae	Translation, ribosomal structure and biogenesis	0.008733624	2	TP8	Soil
Nitrospinae	Translation, ribosomal structure and biogenesis	0.008032129	2	TP9	Soil
Chloroflexi	Translation, ribosomal structure and biogenesis	0.005586592	2	TP9	Rhizosphere
Gemmatimonadetes	Translation, ribosomal structure and biogenesis	0.012048193	3	TP9	Soil
Cyanobacteria	Translation, ribosomal structure and biogenesis	0.008379888	3	TP9	Rhizosphere
Bacteroidetes	Translation, ribosomal structure and biogenesis	0.017467249	4	TP8	Soil
Nitrospirae	Translation, ribosomal structure and biogenesis	0.017467249	4	TP8	Soil
Nitrospirae	Translation, ribosomal structure and biogenesis	0.020080321	5	TP9	Soil
Verrucomicrobia	Translation, ribosomal structure and biogenesis	0.020080321	5	TP9	Soil
Chloroflexi	Translation, ribosomal structure and biogenesis	0.036144578	9	TP9	Soil
Planctomycetes	Translation, ribosomal structure and biogenesis	0.036144578	9	TP9	Soil
Firmicutes	Translation, ribosomal structure and biogenesis	0.048034934	11	TP8	Soil
Bacteroidetes	Translation, ribosomal structure and biogenesis	0.052208835	13	TP9	Soil
Tenericutes	Translation, ribosomal structure and biogenesis	0.014606742	13	TP8	Rhizosphere
Chloroflexi	Translation, ribosomal structure and biogenesis	0.082969432	19	TP8	Soil
Proteobacteria	Translation, ribosomal structure and biogenesis	0.082969432	19	TP8	Soil
Acidobacteria	Translation, ribosomal structure and biogenesis	0.080321285	20	TP9	Soil
Cyanobacteria	Translation, ribosomal structure and biogenesis	0.080321285	20	TP9	Soil
Firmicutes	Translation, ribosomal structure and biogenesis	0.084337349	21	TP9	Soil
Bacteroidetes	Translation, ribosomal structure and biogenesis	0.067039106	24	TP9	Rhizosphere
Firmicutes	Translation, ribosomal structure and biogenesis	0.028089888	25	TP8	Rhizosphere
Chloroflexi	Translation, ribosomal structure and biogenesis	0.041573034	37	TP8	Rhizosphere
Actinobacteria	Translation, ribosomal structure and biogenesis	0.240963855	60	TP9	Soil
Proteobacteria	Translation, ribosomal structure and biogenesis	0.173184358	62	TP9	Rhizosphere
Proteobacteria	Translation, ribosomal structure and biogenesis	0.301204819	75	TP9	Soil
Firmicutes	Translation, ribosomal structure and biogenesis	0.268156425	96	TP9	Rhizosphere
Proteobacteria	Translation, ribosomal structure and biogenesis	0.113483146	101	TP8	Rhizosphere
Actinobacteria	Translation, ribosomal structure and biogenesis	0.707423581	162	TP8	Soil
Actinobacteria	Translation, ribosomal structure and biogenesis	0.472067039	169	TP9	Rhizosphere
Actinobacteria	Translation, ribosomal structure and biogenesis	0.8	712	TP8	Rhizosphere
Aminicenantes	Transcription	0.005263158	1	TP9	Soil
Armatimonadetes	Transcription	0.005263158	1	TP9	Soil
BRC1	Transcription	0.005263158	1	TP9	Soil
Spirochaetes	Transcription	0.005263158	1	TP9	Soil
Aminicenantes	Transcription	0.003759398	1	TP8	Soil
Nitrospinae	Transcription	0.003759398	1	TP8	Soil
Acidobacteria	Transcription	0.001669449	1	TP8	Rhizosphere
Armatimonadetes	Transcription	0.001669449	1	TP8	Rhizosphere
Aquificae	Transcription	0.010526316	2	TP9	Soil
Cyanobacteria	Transcription	0.010526316	2	TP9	Soil
Nitrospinae	Transcription	0.010526316	2	TP9	Soil
BRC1	Transcription	0.008510638	2	TP9	Rhizosphere
Nitrospirae	Transcription	0.008510638	2	TP9	Rhizosphere
Acidobacteria	Transcription	0.008510638	2	TP9	Rhizosphere
Cyanobacteria	Transcription	0.007518797	2	TP8	Soil
Deinococcus-Thermus	Transcription	0.007518797	2	TP8	Soil
Gemmatimonadetes	Transcription	0.015789474	3	TP9	Soil
Acidobacteria	Transcription	0.011278195	3	TP8	Soil
candidate division NC10	Transcription	0.011278195	3	TP8	Soil
Nitrospirae	Transcription	0.011278195	3	TP8	Soil
Nitrospirae	Transcription	0.021052632	4	TP9	Soil
Planctomycetes	Transcription	0.021052632	4	TP9	Soil
Verrucomicrobia	Transcription	0.026315789	5	TP9	Soil
Tenericutes	Transcription	0.010016694	6	TP8	Rhizosphere
Acidobacteria	Transcription	0.042105263	8	TP9	Soil
Bacteroidetes	Transcription	0.038297872	9	TP9	Rhizosphere
Firmicutes	Transcription	0.057894737	11	TP9	Soil
Firmicutes	Transcription	0.045112782	12	TP8	Soil
Proteobacteria	Transcription	0.060150376	16	TP8	Soil
Firmicutes	Transcription	0.026711185	16	TP8	Rhizosphere
Chloroflexi	Transcription	0.030050083	18	TP8	Rhizosphere
Bacteroidetes	Transcription	0.105263158	20	TP9	Soil
Chloroflexi	Transcription	0.110526316	21	TP9	Soil
Chloroflexi	Transcription	0.097744361	26	TP8	Soil
Proteobacteria	Transcription	0.050083472	30	TP8	Rhizosphere
Proteobacteria	Transcription	0.174468085	41	TP9	Rhizosphere
Proteobacteria	Transcription	0.263157895	50	TP9	Soil
Actinobacteria	Transcription	0.284210526	54	TP9	Soil
Firmicutes	Transcription	0.229787234	54	TP9	Rhizosphere
Actinobacteria	Transcription	0.531914894	125	TP9	Rhizosphere
Actinobacteria	Transcription	0.740601504	197	TP8	Soil
Actinobacteria	Transcription	0.879799666	527	TP8	Rhizosphere
Deferribacteres	Replication, recombination and repair	0.013888889	1	TP9	Soil
Nitrospinae	Replication, recombination and repair	0.013888889	1	TP9	Soil
Planctomycetes	Replication, recombination and repair	0.013888889	1	TP9	Soil
Tenericutes	Replication, recombination and repair	0.013888889	1	TP9	Soil
Cyanobacteria	Replication, recombination and repair	0.012987013	1	TP8	Soil
Nitrospirae	Replication, recombination and repair	0.012987013	1	TP8	Soil
Planctomycetes	Replication, recombination and repair	0.012987013	1	TP8	Soil
Verrucomicrobia	Replication, recombination and repair	0.012987013	1	TP8	Soil
Spirochaetes	Replication, recombination and repair	0.010869565	1	TP9	Rhizosphere
Deferribacteres	Replication, recombination and repair	0.010869565	1	TP9	Rhizosphere
Aquificae	Replication, recombination and repair	0.010869565	1	TP9	Rhizosphere
Cyanobacteria	Replication, recombination and repair	0.027777778	2	TP9	Soil
Gemmatimonadetes	Replication, recombination and repair	0.027777778	2	TP9	Soil
